bundle_chip,setpoint_C,Tin_C,Tout_C,dT_K,mdot_gs,V_ms,Re
33-plain,20,20.0,21.7,1.7,60.0,0.235,735
33-plain,30,29.2,31.0,1.8,60.0,0.236,910
33-plain,40,39.4,41.0,1.6,60.0,0.237,1116
33-plain,50,48.3,49.9,1.6,60.0,0.237,1310
33-micro,20,20.2,23.3,3.1,62.5,0.245,771
33-micro,40,40.9,44.4,3.4,62.5,0.247,1197
42-plain,20,20.0,22.1,2.1,38.8,0.61,845
42-plain,30,30.0,32.5,2.5,38.8,0.611,1061
42-plain,40,40.1,42.2,2.2,38.8,0.614,1298
42-plain,50,50.0,52.0,2.0,38.8,0.616,1549
42-micro,20,20.0,23.5,3.5,41.0,0.644,893
42-micro,30,29.9,34.5,4.5,38.8,0.611,1060
42-micro,40,40.0,44.3,4.3,38.8,0.614,1296
42-micro,50,49.9,54.9,5.0,38.8,0.616,1547
