tube_index,x_mm,y_mm,OD_mm,ID_mm
1,-33.4995,-6.5303,4.76,3.137
2,-33.4995,-0.0303,4.76,3.137
3,-33.4995,6.4697,4.76,3.137
4,33.5005,6.4697,4.76,3.137
5,33.5005,-0.0303,4.76,3.137
6,33.5005,-6.5303,4.76,3.137
7,-27.9165,2.9697,4.76,3.137
8,-27.9165,-3.2803,4.76,3.137
9,-16.7495,-3.2803,4.76,3.137
10,-16.7495,2.9697,4.76,3.137
11,5.5845,2.9697,4.76,3.137
12,5.5845,-3.2803,4.76,3.137
13,-5.5825,-3.2803,4.76,3.137
14,-5.5825,2.9697,4.76,3.137
15,16.7515,2.9697,4.76,3.137
16,16.7515,-3.2803,4.76,3.137
17,27.9185,-3.2803,4.76,3.137
18,27.9185,2.9697,4.76,3.137
19,-22.3325,6.4697,4.76,3.137
20,-22.3325,0.2197,4.76,3.137
21,-11.1665,0.2197,4.76,3.137
22,-11.1665,6.4697,4.76,3.137
23,11.1655,0.2197,4.76,3.137
24,11.1655,6.4697,4.76,3.137
25,-0.0005,0.2197,4.76,3.137
26,-0.0005,6.4697,4.76,3.137
27,22.3315,6.4697,4.76,3.137
28,22.3315,0.2197,4.76,3.137
29,22.3315,-6.2803,4.76,3.137
30,11.1645,-6.2803,4.76,3.137
31,-0.0025,-6.2803,4.76,3.137
32,-11.1695,-6.2803,4.76,3.137
33,-22.3355,-6.2803,4.76,3.137
